       close    volume  growthScore  multipleScore  integratedScore  financialReturnsScore        date
0    36.1543  10848323        0.192          0.754            0.362                  0.648  2015-05-01
1    36.1984  10204805        0.194          0.754            0.362                  0.648  2015-05-04
2    36.0129  11721254        0.198          0.756            0.362                  0.644  2015-05-05
3    35.9333  11906874        0.198          0.764            0.360                  0.646  2015-05-06
4    35.9687  13834747        0.194          0.766            0.356                  0.642  2015-05-07
5    36.2161  11144434        0.192          0.766            0.356                  0.644  2015-05-08
6    36.1808  10113526        0.194          0.762            0.358                  0.644  2015-05-11
7    35.9598  12384499        0.192          0.766            0.356                  0.640  2015-05-12
8    36.2780  13183745        0.192          0.760            0.358                  0.640  2015-05-13
9    36.6757   9960964        0.192          0.764            0.356                  0.642  2015-05-14
10   36.6933   8479028        0.190          0.768            0.356                  0.642  2015-05-15
11   36.5166  11511687        0.194          0.764            0.356                  0.640  2015-05-18
12   36.5078   9071997        0.190          0.756            0.360                  0.644  2015-05-19
13   36.5431  10965231        0.190          0.760            0.358                  0.642  2015-05-20
14   36.4371   9270925        0.190          0.760            0.358                  0.642  2015-05-21
15   36.4194  11909499        0.190          0.762            0.356                  0.642  2015-05-22
16   36.2250  15194348        0.192          0.764            0.356                  0.640  2015-05-25
17   36.3398   9863138        0.190          0.764            0.356                  0.640  2015-05-26
18   36.3575   9395168        0.190          0.764            0.356                  0.640  2015-05-27
19   36.1984  19628649        0.190          0.764            0.356                  0.640  2015-05-28
20   36.1808  12684052        0.194          0.780            0.352                  0.642  2015-05-29
21   36.2250  11878845        0.196          0.776            0.354                  0.642  2015-06-01
22   36.1189   8153777        0.194          0.778            0.354                  0.644  2015-06-02
23   35.8715  10145794        0.194          0.774            0.354                  0.644  2015-06-03
24   35.4384  15975551        0.194          0.774            0.354                  0.640  2015-06-04
25   35.4914  14339260        0.194          0.774            0.354                  0.640  2015-06-05
26   35.5268  10772741        0.190          0.766            0.356                  0.646  2015-06-08
27   35.6417  11979870        0.190          0.768            0.354                  0.644  2015-06-09
28   35.7308  11944854        0.190          0.770            0.356                  0.646  2015-06-10
29   35.6060  15568577        0.190          0.770            0.356                  0.646  2015-06-11
30   35.2763  11364793        0.188          0.764            0.358                  0.646  2015-06-12
31   35.7129  12517410        0.190          0.766            0.356                  0.646  2015-06-15
32   35.8822  13898422        0.190          0.762            0.360                  0.650  2015-06-16
33   36.2208  16314590        0.188          0.764            0.358                  0.650  2015-06-17
34   35.9981  23550571        0.190          0.764            0.360                  0.652  2015-06-18
35   36.0694   8775913        0.190          0.768            0.358                  0.654  2015-06-19
36   35.9803  11094928        0.190          0.764            0.360                  0.656  2015-06-22
37   35.8110  10385088        0.190          0.766            0.360                  0.656  2015-06-23
38   35.6595  10607592        0.188          0.766            0.358                  0.656  2015-06-24
39   35.6417  16215596        0.188          0.764            0.360                  0.658  2015-06-25
40   35.1070  15500771        0.188          0.766            0.360                  0.658  2015-06-26
41   34.9556  14621325        0.186          0.766            0.360                  0.658  2015-06-29
42   35.1961  11177431        0.186          0.766            0.358                  0.654  2015-06-30
43   35.1872   8975923        0.186          0.760            0.360                  0.654  2015-07-01
44   35.1249  10252593        0.184          0.760            0.358                  0.652  2015-07-02
45   35.8644  20335005        0.184          0.760            0.360                  0.656  2015-07-03
46   35.5169  11383747        0.184          0.762            0.358                  0.652  2015-07-06
47   35.5704  13392040        0.184          0.760            0.360                  0.652  2015-07-07
48   35.9892  13360379        0.184          0.772            0.356                  0.654  2015-07-08
49   36.2298   9854203        0.186          0.774            0.356                  0.656  2015-07-09
50   36.6842  19531043        0.186          0.774            0.356                  0.656  2015-07-10
51   36.6485  11252142        0.186          0.778            0.354                  0.654  2015-07-13
52   36.9604  10483688        0.186          0.774            0.356                  0.654  2015-07-14
53   36.7555   9608302        0.186          0.774            0.356                  0.654  2015-07-15
54   36.8713  10024168        0.188          0.780            0.354                  0.654  2015-07-16
55   36.7020  13653823        0.188          0.782            0.352                  0.652  2015-07-17
56   36.4436  15528630        0.190          0.784            0.354                  0.654  2015-07-20
57   36.3901  13522199        0.190          0.782            0.354                  0.654  2015-07-21
58   36.0337  10912528        0.186          0.782            0.352                  0.652  2015-07-22
59   36.1228  10945666        0.208          0.794            0.358                  0.658  2015-07-23
60   36.1317  11021821        0.208          0.796            0.358                  0.662  2015-07-24
61   36.1674   8479899        0.204          0.790            0.360                  0.662  2015-07-27
62   36.1406   9095488        0.204          0.796            0.356                  0.662  2015-07-28
63   36.6040  15309490        0.202          0.788            0.358                  0.658  2015-07-29
64   37.0139  14672571        0.202          0.788            0.358                  0.662  2015-07-30
65   37.2901  17559905        0.198          0.788            0.358                  0.664  2015-07-31
66   37.5307  15329248        0.196          0.796            0.356                  0.666  2015-08-03
67   37.3525  11378874        0.198          0.802            0.354                  0.668  2015-08-04
68   37.2188  10886719        0.194          0.806            0.352                  0.668  2015-08-05
69   37.1386   9501875        0.194          0.812            0.350                  0.668  2015-08-06
70   36.9604  11254885        0.194          0.810            0.350                  0.668  2015-08-07
71   36.7644   9793289        0.194          0.810            0.352                  0.672  2015-08-10
72   36.6218  10270853        0.194          0.802            0.356                  0.672  2015-08-11
73   36.7555   9905619        0.192          0.804            0.354                  0.670  2015-08-12
74   36.8446   8272813        0.192          0.794            0.356                  0.674  2015-08-13
75   36.8000  11199353        0.192          0.796            0.358                  0.676  2015-08-14
76   36.3367  15796292        0.194          0.798            0.358                  0.676  2015-08-17
77   36.1317  14217983        0.194          0.794            0.358                  0.676  2015-08-18
78   35.2229  28036173        0.194          0.790            0.360                  0.676  2015-08-19
79   34.1982  44065301        0.194          0.792            0.360                  0.676  2015-08-20
80   33.8507  31363717        0.194          0.796            0.358                  0.676  2015-08-21
81   34.5100  23523272        0.194          0.800            0.356                  0.674  2015-08-24
82   34.9912  18871551        0.194          0.808            0.354                  0.676  2015-08-25
83   35.1516  14503887        0.196          0.806            0.356                  0.674  2015-08-26
84   35.0358  12673262        0.196          0.802            0.356                  0.674  2015-08-27
85   34.5279  23703211        0.196          0.796            0.358                  0.676  2015-08-28
86   34.6615  14054821        0.194          0.794            0.358                  0.676  2015-08-31
87   34.8932  13311591        0.194          0.790            0.360                  0.676  2015-09-01
88   34.3229  15450547        0.196          0.806            0.356                  0.678  2015-09-02
89   34.6615  15273936        0.196          0.794            0.360                  0.678  2015-09-03
90   34.1269  13764593        0.194          0.796            0.360                  0.678  2015-09-04
91   34.2338  14952537        0.196          0.796            0.360                  0.680  2015-09-07
92   34.2698  11802271        0.192          0.796            0.358                  0.680  2015-09-08
93   34.2428   8950014        0.192          0.794            0.360                  0.680  2015-09-09
94   34.6023  13019802        0.190          0.806            0.352                  0.670  2015-09-10
95   35.1865  22233383        0.188          0.806            0.350                  0.670  2015-09-11
96   35.3932  21232475        0.182          0.790            0.356                  0.674  2015-09-14
97   35.0337  27527257        0.180          0.792            0.354                  0.674  2015-09-15
98   35.2224  12935770        0.180          0.792            0.354                  0.674  2015-09-16
99   34.8629  15021341        0.182          0.792            0.354                  0.674  2015-09-17
100  34.8360   8910787        0.180          0.792            0.354                  0.674  2015-09-18
101  35.1865  19385676        0.180          0.798            0.352                  0.672  2015-09-21
102  35.6089  22511328        0.180          0.800            0.352                  0.672  2015-09-22
103  35.5280  19323124        0.182          0.796            0.354                  0.674  2015-09-23
104  35.6449  14166903        0.182          0.798            0.352                  0.674  2015-09-24
105  36.0583  19752636        0.182          0.804            0.350                  0.674  2015-09-25
106  35.7707  19606626        0.184          0.816            0.348                  0.676  2015-09-28
107  36.3010  15537258        0.184          0.822            0.346                  0.676  2015-09-29
108  36.8582  15664041        0.184          0.820            0.346                  0.676  2015-09-30
109  36.8133  14579392        0.184          0.818            0.346                  0.674  2015-10-01
110  37.3166  14401357        0.184          0.818            0.348                  0.674  2015-10-02
111  37.7300  11960174        0.190          0.818            0.348                  0.672  2015-10-05
112  37.7659  13931163        0.196          0.820            0.350                  0.672  2015-10-06
113  37.7480  12299062        0.196          0.820            0.350                  0.672  2015-10-07
114  37.4334  12903557        0.198          0.820            0.348                  0.670  2015-10-08
115  37.4604  14180003        0.196          0.820            0.348                  0.670  2015-10-09
116  37.6761  11801562        0.198          0.822            0.348                  0.670  2015-10-12
117  37.7659  20384217        0.198          0.824            0.348                  0.670  2015-10-13
118  37.7390  15553774        0.198          0.824            0.348                  0.670  2015-10-14
119  38.0086  16199274        0.200          0.828            0.348                  0.670  2015-10-15
120  37.9187  19441875        0.202          0.822            0.350                  0.670  2015-10-16
121  38.8624  35920184        0.200          0.818            0.350                  0.672  2015-10-19
122  38.4580  18796054        0.200          0.816            0.354                  0.674  2015-10-20
123  38.2782  14788551        0.198          0.816            0.352                  0.674  2015-10-21
124  38.2962  30166606        0.224          0.824            0.354                  0.660  2015-10-22
125  38.4041  13667307        0.224          0.828            0.352                  0.660  2015-10-23
126  38.4580   9427360        0.222          0.824            0.354                  0.664  2015-10-26
127  38.0625  15356150        0.224          0.820            0.356                  0.664  2015-10-27
128  37.9637  16252244        0.224          0.830            0.352                  0.664  2015-10-28
129  37.8918   9693096        0.230          0.826            0.354                  0.660  2015-10-29
130  37.7210  10488505        0.230          0.830            0.354                  0.660  2015-10-30
131  38.0446   9625114        0.234          0.826            0.356                  0.658  2015-11-02
132  37.7120  11926701        0.232          0.820            0.356                  0.660  2015-11-03
133  37.3345  10842712        0.230          0.820            0.356                  0.658  2015-11-04
134  37.5412   8283092        0.232          0.814            0.360                  0.660  2015-11-05
135  37.7839   9101167        0.232          0.820            0.358                  0.660  2015-11-06
136  37.3705  10724972        0.230          0.816            0.360                  0.662  2015-11-09
137  37.1907  11619468        0.226          0.818            0.358                  0.664  2015-11-10
138  37.7120  11244857        0.228          0.814            0.358                  0.664  2015-11-11
139  37.4514  12739365        0.224          0.818            0.356                  0.664  2015-11-12
140  37.9996  12966287        0.226          0.822            0.356                  0.666  2015-11-13
141  38.7456  24090723        0.220          0.822            0.356                  0.670  2015-11-16
142  38.1344  19780761        0.224          0.822            0.358                  0.670  2015-11-17
143  38.6108  13338134        0.224          0.816            0.360                  0.670  2015-11-18
144  38.9703  15767155        0.222          0.810            0.362                  0.672  2015-11-19
145  38.9703  10344857        0.222          0.820            0.358                  0.672  2015-11-20
146  39.0790   7236711        0.222          0.802            0.364                  0.672  2015-11-23
147  38.5990  16063027        0.222          0.810            0.362                  0.672  2015-11-24
148  38.8435  11153028        0.222          0.818            0.360                  0.672  2015-11-25
149  38.7348  12598499        0.222          0.814            0.360                  0.672  2015-11-26
150  38.4541  15004860        0.222          0.816            0.360                  0.672  2015-11-27
151  39.2058  16487972        0.222          0.810            0.362                  0.672  2015-11-30
152  39.1243  12030718        0.220          0.808            0.360                  0.670  2015-12-01
153  38.9522  10736213        0.220          0.808            0.360                  0.670  2015-12-02
154  38.6352  12945502        0.218          0.818            0.358                  0.672  2015-12-03
155  38.7258  15483321        0.220          0.820            0.358                  0.674  2015-12-04
156  38.2820  17313343        0.222          0.826            0.358                  0.676  2015-12-07
157  38.4450  20092892        0.222          0.826            0.358                  0.676  2015-12-08
158  39.0065  17916382        0.222          0.822            0.360                  0.676  2015-12-09
