close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
62.45,1033201,0.178,0.096,0.524,0.488,2015-05-01
61.48,887517,0.164,0.124,0.506,0.48,2015-05-04
61.03,477879,0.164,0.12,0.508,0.482,2015-05-05
60.88,441597,0.162,0.118,0.508,0.48,2015-05-06
60.95,455380,0.16,0.124,0.504,0.476,2015-05-07
61.6,299622,0.16,0.126,0.504,0.476,2015-05-08
61.45,453968,0.16,0.122,0.504,0.476,2015-05-11
61.06,366591,0.16,0.124,0.504,0.476,2015-05-12
61.75,420678,0.16,0.124,0.504,0.476,2015-05-13
63.17,467192,0.162,0.128,0.504,0.476,2015-05-14
62.78,496532,0.162,0.138,0.5,0.478,2015-05-15
63.77,464897,0.162,0.128,0.504,0.48,2015-05-18
63.56,550400,0.162,0.138,0.502,0.482,2015-05-19
63.38,358991,0.16,0.138,0.502,0.482,2015-05-20
62.38,773545,0.16,0.138,0.502,0.484,2015-05-21
62.18,671771,0.162,0.132,0.504,0.484,2015-05-22
60.48,611533,0.162,0.134,0.504,0.482,2015-05-25
61.05,998114,0.162,0.132,0.504,0.482,2015-05-26
61.24,604727,0.162,0.13,0.506,0.482,2015-05-27
60.79,1051947,0.162,0.128,0.506,0.482,2015-05-28
60.82,542740,0.166,0.15,0.5,0.484,2015-05-29
60.47,397776,0.166,0.126,0.508,0.486,2015-06-01
61.04,752973,0.166,0.134,0.506,0.488,2015-06-02
59.14,584674,0.166,0.128,0.508,0.488,2015-06-03
58.82,1180788,0.166,0.136,0.506,0.486,2015-06-04
58.06,906104,0.166,0.134,0.506,0.488,2015-06-05
58.1,681933,0.158,0.118,0.508,0.486,2015-06-08
59.06,788245,0.158,0.114,0.51,0.488,2015-06-09
59.45,629058,0.158,0.118,0.51,0.488,2015-06-10
59.05,398791,0.158,0.118,0.51,0.488,2015-06-11
58.69,465286,0.158,0.12,0.508,0.488,2015-06-12
59.03,569390,0.158,0.12,0.508,0.488,2015-06-15
58.77,676267,0.16,0.122,0.51,0.49,2015-06-16
59.75,508350,0.158,0.12,0.51,0.492,2015-06-17
59.31,550939,0.156,0.12,0.51,0.494,2015-06-18
60.25,518988,0.158,0.126,0.51,0.498,2015-06-19
60.26,422005,0.156,0.122,0.51,0.498,2015-06-22
59.66,557819,0.156,0.124,0.51,0.498,2015-06-23
59.02,307251,0.156,0.124,0.51,0.498,2015-06-24
