GSID,G,FR,M,IR
75607,0.355832047,0.121035876,0.647161154,-0.218069503
226278,-0.103107717,-0.060756904,-0.050991338,-0.053078286
151048,-0.626392596,0.290651594,-0.462080612,-0.275183697
91556,-0.084345091,0.361269005,-0.224003229,0.234343897
79758,-0.308090015,0.88806525,-0.339871877,0.376120506
75573,0.212138461,-0.404946348,-0.556320195,0.535190351
25022,0.277582799,-0.292336617,0.416799965,0.006050064
85914,-0.733006971,0.653425351,-0.507092436,0.548219047
10516,0.42004529,-0.781554403,-0.422089407,0.313396654
86372,0.294943418,-0.249648911,-0.094090389,0.200522555
216587,-0.716630102,0.376509524,-0.595537323,0.12023425
59248,0.676830392,-0.717068387,0.016045114,-0.200250172
29209,-0.289870475,0.587695667,0.196591839,-0.082664795
230958,-0.580634908,0.726031774,-0.664143654,0.731859569
18163,-0.40922476,0.407977061,0.712756345,-0.561197913
16600,-0.302583187,0.73177995,0.125993796,-0.213650788
152963,-0.619360521,-0.408032222,-0.343872572,-0.675300223
194688,-0.020515915,0.649165855,-0.158086527,0.486350607
193324,-0.357071345,-0.024900658,0.024331683,-0.28417629
183269,-0.792602205,0.77556482,0.327797183,-0.291439726
188329,0.117982503,0.413203099,-0.377633868,0.32505148
197235,0.004250179,-0.070300029,-0.266110044,0.183720769
78045,-0.544107375,-0.442288712,-0.39644273,-0.555513198
53613,0.025615105,-0.232767356,-0.082661007,-0.207946102
46578,0.641298393,0.047244694,0.227391669,0.122258282
905288,0.703037276,-0.50434991,0.107081861,-0.093418778
17750,0.297521422,0.048819341,0.64948216,-0.128722171
161467,-0.434953447,0.667037018,-0.570567919,0.730348574
44644,-0.270513427,0.084478333,0.162655574,-0.3857586
18729,0.378375442,-0.185603939,0.436653838,0.198906364
902608,-0.73681732,-0.452389049,0.074240273,-0.672432421
216722,-0.60357584,-0.408354399,0.079000806,-0.539163047
193155,0,nan,nan,nan
11308,0.416373651,0.74809142,0.698683735,0.455092394
59010,-0.609581948,-0.526590367,-0.414832377,-0.10307286
76226,0.472362636,0.37327499,0.035625575,0.532452712
53065,-0.300119713,0.483363755,0.236447848,-0.296996261
78975,-0.346283409,0.437282204,-0.369363271,0.06771916
75100,-0.71275559,-0.522125966,-0.392153439,-0.554970531
82598,-0.499111472,0.606378449,-0.583117493,0.608050086
13901,0.253478046,0.837131235,0.523972835,-0.03771581
15579,-0.224507444,0.769945349,0.476186611,-0.264200776
26825,0.581680543,0.739554357,0.177262067,0.529359217
213305,0.122719522,-0.565655881,-0.406975617,-0.594559191
85631,-0.078719909,-0.034958598,0.661980074,-0.119976825
84275,-0.802534963,-0.453393251,-0.411216474,-0.37358343
66384,-0.347661589,-0.333526466,-0.03813114,-0.787680275
223416,-0.43394062,0.54071583,-0.576350652,-0.194102932
79265,0.261916053,-0.423242148,0.398680766,-0.258362472
85627,-0.563083148,-0.228153132,-0.803366495,0.108948409
26403,0.474203698,0.598112271,-0.594101171,0.646530201
77659,-0.553236254,-0.587749187,-0.51637057,0.323403236
183414,0.512718166,-0.50294677,0.355240548,-0.116030187
188804,-0.229942715,-0.37988248,-0.427212939,-0.118364631
80791,-0.309534951,-0.373534509,0.5387602,-0.50723303
227284,-0.417070527,0.664575474,-0.447035835,0.563547104
22293,-0.241174754,0.007754604,0.735178875,-0.554711135
16678,-0.015566782,-0.222959343,-0.368246847,0.261084764
49154,-0.154360987,0.072433571,-0.368707416,0.381579621
70500,-0.181466889,-0.453646654,-0.153846507,-0.661352679
81116,0.345078602,-0.698678284,0.753407584,-0.777150672
46886,-0.569953227,0.748433985,-0.088120335,-0.595476543
11896,-0.89450925,0.630618266,0.355762992,-0.762118907
148401,-0.900614488,-0.211647855,0.205323516,-0.68812737
905632,0.223474011,0.58966732,-0.562132544,0.441912148
61621,-0.423755324,0.377310472,0.460510045,-0.555962153
76605,0.421940262,0.211062432,-0.481237667,0.603530711
55976,-0.569850977,-0.315961995,0.380356151,-0.503257793
46922,0.397079243,-0.565906183,-0.111262459,-0.047572459
176665,-0.216549813,-0.697380315,-0.40283605,-0.583885887
198025,-0.649062201,-0.613329897,-0.398765213,-0.63953733
903917,-0.223988923,0.399720244,-0.833186574,0.82345044
13936,-0.589090858,0.518271603,-0.553671184,0.585192824
75154,-0.359103237,0.683853617,-0.606433913,0.58684222
85072,-0.13173139,-0.461548371,-0.481693812,0.223045286
84769,0.449839008,-0.03201421,0.209817556,0.367690715
202271,0.723825854,-0.680420202,-0.65332281,0.692003178
901237,0.191831459,0.19331261,-0.689836545,0.652051736
85517,-0.800610581,-0.216110372,-0.550786371,-0.67193454
217708,-0.434068657,0.084313115,-0.519114306,0.064192824
64064,0.298343913,0.791511564,-0.277189451,0.625947904
173578,-0.66120992,-0.247679876,-0.675241643,0.031585316
86356,0.160610656,0.033082219,-0.418969512,0.349362852
86196,-0.238411791,-0.635455767,-0.41998954,-0.564950586
69796,-0.177709483,0.582872199,0.089075087,0.372082676
16432,-0.07017175,0.779878817,-0.405398986,0.152968412
150407,-0.280037923,-0.172613435,-0.002201667,-0.313074228
10696,0.538605384,0.162562719,0.18716705,0.349310663
902704,0.571797511,-0.353689015,0.624277128,0.286342562
12490,0.48132373,-0.600527717,0.24994035,0.059531854
905255,-0.046364565,-0.729873401,0.555565588,-0.684523421
172890,-0.13706692,-0.414217922,-0.195872008,-0.344307002
14593,-0.53864414,-0.562314417,-0.452936493,-0.424052577
177256,0.080540514,0.096599479,-0.222997592,0.21556177
193067,0.195297517,-0.435923264,0.508972646,-0.394156142
40539,-0.145321128,0.405907105,-0.211646192,0.19945054
79145,0.269078379,0.774149091,-0.580404767,0.74141112
80286,-0.37773423,-0.357132949,-0.456675584,0.282738266
149756,-0.552492833,0.633859277,-0.670602378,0.648404415
222946,-0.442414579,0.112385476,0.31586254,-0.46004702
,0,0,0,0
